Health,Probability
0,-0.0
1,0.012018818996947317
2,0.023076110501670903
3,0.01624633240211222
4,0.015272153791673055
5,0.03696430418601969
6,0.03600056485205004
7,0.03604419451890581
8,0.03853180907680245
9,0.0382019320870383
10,0.7476437795867802
