Stamp, PlayerId, Health, Location.X, Location.Y, Location.Z, Rotation.Pitch, Rotation.Yaw, Rotation.Roll, Velocity.X, Velocity.Y, Velocity.Z
20, 0, 10, 5664, -247, 1023, -19, -37, 14, 277, -214, -133
40, 0, 10, 5835, -377, 945, -20, -38, 20, 346, -264, -157
60, 0, 10, 6009, -510, 874, -12, -36, 53, 357, -267, -122
80, 0, 10, 6182, -651, 812, -19, -47, 62, 324, -301, -135
100, 0, 10, 6395, -898, 695, -29, -80, 76, 322, -487, -246
120, 0, 10, 6489, -1146, 558, -34, -87, 79, 96, -496, -302
140, 0, 10, 6525, -1388, 401, -43, -74, 70, 72, -456, -337
160, 0, 10, 6605, -1604, 242, -14, -38, 53, 255, -410, -273
180, 0, 10, 6874, -1673, 115, 19, 3, 59, 866, 45, 300
200, 0, 10, 7162, -1678, 262, 54, -90, 3, 92, -38, 189
220, 0, 10, 7140, -1756, 412, 26, 173, -65, -144, -190, 387
240, 0, 10, 7179, -1867, 717, 55, 170, -70, 394, -227, 781
260, 0, 10, 7518, -1935, 1094, 41, 166, -73, 826, -84, 710
280, 0, 10, 7990, -1996, 1524, 24, 158, -79, 666, -148, 734
300, 0, 10, 8245, -2091, 1893, 23, 160, -76, 358, -196, 778
320, 0, 10, 8217, -2131, 2324, 18, 162, -76, -413, 28, 919
340, 0, 10, 7892, -2080, 2793, 15, 162, -76, -788, 147, 936
360, 0, 10, 7493, -2001, 3245, -9, 166, -76, -799, 164, 867
380, 0, 10, 7072, -1900, 3667, -28, 121, -62, -873, 278, 820
400, 0, 10, 6594, -1739, 4022, -22, 168, -82, -1382, 291, -577
420, 0, 10, 5893, -1652, 3733, -22, 174, -84, -1404, 156, -578
440, 0, 10, 5225, -1567, 3452, -30, 150, -73, -1190, 215, -533
460, 0, 10, 4645, -1439, 3180, -29, 151, -73, -1152, 259, -543
480, 0, 10, 4072, -1311, 2911, -36, 144, -70, -1139, 256, -536
500, 0, 10, 3518, -1174, 2639, -41, 112, -48, -1011, 352, -583
520, 0, 10, 3118, -927, 2321, -24, 85, -28, -589, 624, -638
540, 0, 10, 2910, -568, 2024, -27, 86, -28, -346, 769, -583
560, 0, 10, 2771, -146, 1724, -33, 92, -31, -140, 964, -610
580, 0, 10, 2833, 388, 1449, -29, 69, -20, 332, 1100, -489
600, 0, 10, 3014, 923, 1195, -28, 46, -8, 431, 1017, -531
620, 0, 10, 3187, 1333, 969, -18, 37, -6, 549, -101, 9
640, 0, 10, 3366, 1420, 733, -13, 137, -90, -493, 376, -556
660, 0, 10, 3152, 1594, 456, -47, -33, 82, -239, 203, -629
680, 0, 10, 3136, 1620, 143, -54, -38, 87, 78, -38, -602
700, 0, 10, 3212, 1568, -150, -47, -34, 84, 210, -146, -653
720, 0, 10, 3439, 1411, -555, -46, -34, 82, 716, -485, -936
740, 0, 10, 3794, 1329, -915, 14, -9, 84, 687, -13, -444
760, 0, 10, 4243, 1341, -828, 23, 2, 87, 978, 39, 415
780, 0, 10, 4727, 1362, -627, 21, 4, 90, 908, 50, 365
800, 0, 10, 5131, 1384, -464, 25, 1, 87, 784, 44, 315
820, 0, 10, 5501, 1400, -279, 64, -6, 82, 651, 12, 476
840, 0, 10, 5757, 1398, 10, 88, -96, -6, 371, -15, 652
860, 0, 10, 5816, 1389, 362, 15, 174, -96, -203, 7, 671
880, 0, 10, 5627, 1397, 364, -12, 173, -96, -717, 84, -147
900, 0, 10, 5329, 1428, 302, -12, -177, -96, -448, 24, -93
920, 0, 10, 5103, 1426, 256, -11, -173, -96, -452, -25, -91
940, 0, 10, 4877, 1407, 211, -11, -173, -96, -451, -45, -89
960, 0, 10, 4677, 1386, 172, -11, -173, -96, -346, -35, -68
980, 0, 10, 4529, 1371, 143, -11, -173, -96, -256, -26, -50
1000, 0, 10, 4418, 1360, 121, -6, -179, -96, -193, -20, -38
1020, 0, 10, 4333, 1352, 104, -6, -179, -96, -150, -15, -29
1040, 0, 10, 4267, 1345, 91, -6, -179, -96, -119, -12, -23
1060, 0, 10, 4213, 1339, 80, -8, -176, -96, -98, -10, -19
1080, 0, 10, 4168, 1335, 72, -12, -167, -98, -83, -8, -16
1100, 0, 10, 4130, 1331, 64, -8, -157, -98, -73, -7, -14
1300, 0, 10, 3729, 825, 3205, 0, 0, 0, 0, -0, 0
