Stamp, PlayerId, Health, Location.X, Location.Y, Location.Z, Rotation.Pitch, Rotation.Yaw, Rotation.Roll, Velocity.X, Velocity.Y, Velocity.Z
20, 0, 10, -3665, -961, 502, 5, -110, 6, 0, -0, 0
40, 0, 10, -3665, -961, 502, -7, -81, 6, 0, -0, 0
60, 0, 10, -3640, -993, 494, -10, -51, 0, 181, -228, -54
80, 0, 10, -3503, -1161, 485, 34, -40, 6, 304, -331, 95
100, 0, 10, -3353, -1315, 568, 25, -54, -3, 280, -313, 193
120, 0, 10, -3269, -1502, 659, 22, -54, -3, 45, -430, 158
140, 0, 10, -3235, -1714, 731, 18, -41, 3, 188, -391, 152
160, 0, 10, -3160, -1916, 805, 46, 28, 37, 62, -428, 161
180, 0, 10, -3159, -2134, 883, 34, -12, 11, -11, -449, 187
200, 0, 10, -3042, -2307, 1075, -14, 10, 8, 537, -184, 499
220, 0, 10, -2615, -2232, 1295, -4, -4, 11, 1177, 358, 395
240, 0, 10, -2125, -2234, 1433, -0, 23, 11, 824, 119, 158
260, 0, 10, -1666, -2287, 1464, -2, 16, 11, 946, -150, -12
280, 0, 10, -1239, -2364, 1461, -17, 69, 0, 826, -98, -28
300, 0, 10, -830, -2412, 1448, -18, 79, -3, 811, -96, -27
320, 0, 10, -428, -2460, 1434, -13, 38, 8, 796, -95, -27
340, 0, 10, -34, -2507, 1421, -20, 47, 6, 781, -93, -26
360, 0, 10, 353, -2553, 1408, -22, 66, -3, 766, -91, -26
380, 0, 10, 732, -2598, 1395, -20, 67, -3, 752, -89, -25
400, 0, 10, 1104, -2642, 1383, -19, 68, -3, 737, -88, -25
420, 0, 10, 1468, -2685, 1371, 7, 45, 0, 722, -86, -24
440, 0, 10, 1790, -2441, 1434, 5, 48, -0, 586, 530, 124
460, 0, 10, 2063, -2174, 1484, -9, 95, -3, 535, 534, 93
480, 0, 10, 2321, -1906, 1527, -13, 128, -11, 404, 573, 55
500, 0, 10, 2403, -1620, 1511, -16, 142, -14, 171, 529, -85
520, 0, 10, 2566, -1451, 1487, -37, 12, 39, 439, 110, -16
540, 0, 10, 2786, -1426, 1431, -55, 58, 6, 426, 26, -177
