Stamp, PlayerId, Health, Location.X, Location.Y, Location.Z, Rotation.Pitch, Rotation.Yaw, Rotation.Roll, Velocity.X, Velocity.Y, Velocity.Z
20, 0, 10, 5614, -209, 1048, -22, -38, 0, 0, -0, 0
40, 0, 10, 5614, -209, 1048, -40, -37, 0, 0, -0, 0
60, 0, 10, 5617, -209, 1045, -49, -18, -14, 59, -19, -70
80, 0, 10, 5733, -251, 923, 9, 50, -37, 348, -78, -286
100, 0, 10, 5931, -221, 818, 19, 156, 0, 393, 163, -158
120, 0, 10, 6127, -132, 761, -1, -136, 14, 430, 19, -116
140, 0, 10, 6148, -239, 735, 5, -150, 11, -576, -376, 44
160, 0, 10, 5868, -418, 757, 4, -155, -14, -519, -310, 42
180, 0, 10, 5619, -547, 772, -2, -163, -17, -502, -217, 12
200, 0, 10, 5365, -625, 770, -0, 178, 22, -510, -85, -11
220, 0, 10, 5120, -640, 768, 1, 174, -6, -464, 9, 3
240, 0, 10, 4889, -623, 771, 0, 171, -62, -459, 50, 8
260, 0, 10, 4568, -559, 738, -8, 168, -113, -655, 140, -82
280, 0, 10, 4271, -505, 679, -43, -174, -124, -554, 60, -209
300, 0, 10, 4034, -509, 520, -54, -160, -135, -374, -73, -397
320, 0, 10, 3934, -582, 304, -25, 174, -118, -185, -134, -400
340, 0, 10, 3776, -617, 146, 35, 158, -118, -340, -71, -305
360, 0, 10, 3557, -664, 7, 52, -168, -93, -513, -148, -469
380, 0, 10, 3289, -738, -151, 63, -172, -98, -564, -149, -124
400, 0, 10, 3010, -769, -175, 56, 11, 87, -549, 10, 8
420, 0, 10, 2906, -754, -222, 35, 8, 84, 13, 49, -179
440, 0, 10, 2911, -732, -300, 35, 8, 84, 10, 38, -139
460, 0, 10, 2915, -715, -362, 35, 8, 84, 8, 31, -112
480, 0, 10, 2919, -701, -412, 35, 8, 84, 7, 25, -92
500, 0, 10, 2922, -690, -455, 35, 8, 84, 6, 22, -79
520, 0, 10, 2925, -680, -492, 35, 8, 84, 5, 19, -70
540, 0, 10, 2927, -671, -525, 35, 8, 84, 4, 17, -63
560, 0, 10, 2929, -662, -555, 35, 8, 84, 4, 16, -59
580, 0, 10, 2931, -655, -584, 35, 8, 84, 4, 15, -55
600, 0, 10, 2933, -647, -611, 35, 8, 84, 4, 15, -53
620, 0, 10, 2935, -640, -637, 35, 8, 84, 4, 14, -52
640, 0, 10, 2937, -633, -663, 35, 8, 84, 4, 14, -51
660, 0, 10, 2938, -626, -688, 35, 8, 84, 4, 14, -50
680, 0, 10, 2940, -619, -712, 35, 8, 84, 3, 13, -49
700, 0, 10, 2942, -613, -737, 35, 8, 84, 3, 13, -49
720, 0, 10, 2944, -606, -761, 35, 8, 84, 3, 13, -49
740, 0, 10, 2945, -599, -786, 35, 8, 84, 3, 13, -49
760, 0, 10, 2947, -593, -810, 35, 8, 84, 3, 13, -48
780, 0, 10, 2949, -586, -834, 35, 8, 84, 3, 13, -48
800, 0, 10, 2950, -580, -858, 35, 8, 84, 3, 13, -48
820, 0, 10, 2952, -573, -882, 35, 8, 84, 3, 13, -48
840, 0, 10, 2954, -566, -906, 35, 8, 84, 3, 13, -48
860, 0, 10, 2955, -560, -931, 35, 8, 84, 3, 13, -48
880, 0, 10, 2957, -553, -955, 35, 8, 84, 3, 13, -48
900, 0, 10, 2959, -547, -979, 35, 8, 84, 3, 13, -48
920, 0, 10, 2960, -540, -1003, 35, 8, 84, 3, 13, -48
940, 0, 10, 2962, -534, -1027, 23, -2, 79, 3, 13, -48
960, 0, 10, 2964, -527, -1051, 10, 39, 76, 3, 13, -48
980, 0, 10, 2966, -520, -1075, 12, -4, 70, 3, 13, -48
1000, 0, 10, 3032, -523, -1080, 11, -6, 67, 363, -33, 47
1020, 0, 10, 3345, -554, -1018, 16, 8, 73, 665, -43, 147
1040, 0, 10, 3646, -544, -942, 17, 18, 76, 577, 72, 160
1060, 0, 10, 3922, -479, -858, 21, 31, 79, 527, 179, 177
1080, 0, 10, 4165, -363, -760, 26, 48, 87, 436, 285, 216
1100, 0, 10, 4359, -202, -647, 26, 49, 87, 354, 343, 230
1120, 0, 10, 4524, -27, -535, 15, 61, 48, 305, 361, 208
1140, 0, 10, 4634, 178, -481, -6, 81, -6, 146, 437, 28
1160, 0, 10, 4675, 404, -484, 4, 111, -34, -2, 460, -3
1180, 0, 10, 4626, 627, -471, 17, 125, -31, -170, 423, 66
1180, 1, 10, 1936, 890, 3117, 0, -180, 0, 0, -0, 0
1200, 0, 10, 4527, 814, -388, 76, 78, -96, -165, 307, 290
1200, 1, 10, 1936, 890, 3117, 0, -177, -0, 0, -0, 0
1200, 2, 10, 5457, 841, 3123, 0, 0, 0, 0, -0, 0
1220, 0, 10, 4508, 919, -191, 70, 21, 155, 54, 139, 436
1220, 1, 10, 1864, 868, 3073, -44, -160, -6, -329, -106, -238
1220, 2, 10, 5457, 841, 3123, 0, 0, 0, 0, -0, 0
1240, 0, 10, 4571, 966, 25, 64, 12, 93, 167, 68, 426
1240, 1, 10, 1683, 800, 3014, -43, -78, -73, -333, -208, -168
1240, 2, 10, 5457, 841, 3123, 0, 0, 0, 0, -0, 0
1260, 0, 10, 4662, 994, 235, 64, 7, 34, 193, 43, 418
1260, 1, 10, 1632, 639, 2891, -41, -31, -96, 98, -331, -297
1260, 2, 10, 5384, 813, 3151, 4, 94, -25, -5, 38, 5
1280, 0, 10, 4761, 1009, 444, 68, -20, -3, 196, 12, 418
1280, 1, 10, 1757, 477, 2806, -43, -23, -101, 328, -288, -137
1280, 2, 10, 5448, 947, 3115, 2, 116, -25, 126, 421, -102
1300, 0, 10, 4837, 978, 658, 65, -72, -67, 113, -120, 431
1300, 1, 10, 1920, 365, 2689, -47, -24, -115, 314, -180, -286
1300, 2, 10, 5426, 1169, 3092, 15, 178, -14, -85, 451, -44
1320, 0, 10, 4871, 889, 866, 42, -97, -93, 26, -242, 391
1320, 1, 10, 2035, 333, 2503, -61, -8, -127, 124, 61, -436
1320, 2, 10, 5377, 1320, 3077, 12, -143, -3, 60, -72, 4
1340, 0, 10, 4868, 727, 1029, 27, -99, -93, -27, -370, 276
1340, 1, 10, 2065, 393, 2283, -75, 40, -157, 63, 114, -443
1340, 2, 10, 5434, 1171, 3091, 6, -165, -6, -41, -374, 49
1360, 0, 10, 4823, 535, 1146, 33, -128, -107, -149, -374, 226
1360, 1, 10, 2108, 449, 2064, -63, 40, -138, 117, 121, -430
1360, 2, 10, 5391, 1013, 3114, 5, 175, -8, -75, -273, 39
1380, 0, 10, 4705, 372, 1256, 18, -148, -115, -308, -288, 188
1380, 1, 10, 2189, 523, 1828, -64, 54, -149, 184, 176, -510
1380, 2, 10, 5359, 896, 3130, 3, 163, -8, -57, -205, 29
1400, 0, 10, 4511, 275, 1324, 4, -177, -124, -435, -122, 90
1400, 1, 10, 2245, 541, 1524, -74, 83, -177, 37, -221, -823
1400, 2, 10, 5338, 817, 3142, 3, 154, -8, 21, 29, -5
1420, 0, 10, 4284, 245, 1352, 1, 177, -124, -461, -17, 33
1420, 1, 10, 2259, 519, 1176, -72, 83, -177, 24, 83, -638
1420, 2, 10, 5377, 944, 3122, 13, -169, -6, 72, 309, -46
1440, 0, 10, 4054, 246, 1363, 1, 177, -124, -462, 15, 16
1440, 1, 10, 2273, 504, 812, -72, 83, -177, 32, -149, -813
1440, 2, 10, 5395, 983, 3116, 11, -175, -6, 14, -84, 12
1460, 0, 10, 3823, 257, 1370, 1, 177, -124, -462, 23, 12
1460, 1, 10, 2287, 505, 457, -71, 85, -180, 25, 116, -675
1460, 2, 10, 5402, 944, 3121, 13, 180, -0, 12, -73, 10
1480, 0, 10, 3572, 270, 1393, 38, 110, -152, -523, -8, 107
1480, 1, 10, 2296, 506, 82, -70, 87, -180, 14, -153, -843
1480, 2, 10, 5403, 913, 3127, 21, 168, -6, -77, -14, 34
1500, 0, 10, 3319, 272, 1441, 32, 99, -157, -495, -4, 45
1500, 1, 10, 2302, 506, -288, -70, 87, -180, 12, 112, -705
1500, 2, 10, 5341, 916, 3215, 46, -179, 3, 88, 6, 250
1520, 0, 10, 3171, 351, 1445, -1, 32, 174, -2, 438, 34
1520, 1, 10, 2360, 569, -628, -29, 18, -124, 239, 41, -661
1520, 2, 10, 5379, 919, 3323, 58, -170, 8, 66, 5, 189
1540, 0, 10, 3172, 531, 1454, -79, -30, -143, -3, 299, -8
1540, 1, 10, 2752, 525, -727, 12, -32, -121, 804, -178, 38
1540, 2, 10, 5408, 921, 3405, 58, -170, 8, 51, 4, 146
1560, 0, 10, 3173, 627, 1369, -86, -147, -28, -1, 96, -292
1560, 1, 10, 3088, 390, -669, 29, -50, -127, 589, -350, 199
1560, 2, 10, 5231, 900, 3636, 45, -175, 6, -585, -54, 586
1580, 0, 10, 3173, 641, 1219, -79, -93, -82, -0, -17, -312
1580, 1, 10, 3281, 271, -595, 4, 16, -107, 568, 10, 127
1580, 2, 10, 4928, 877, 3915, 32, -179, 3, -598, -35, 500
1600, 0, 10, 3173, 610, 1071, -71, -85, -90, 2, -85, -283
1600, 1, 10, 3638, 215, -566, 32, 12, -110, 682, -76, 91
1600, 2, 10, 4676, 862, 4126, 2, -180, 3, -477, -28, 399
1620, 0, 10, 3119, 525, 821, -60, -72, -101, -50, -161, -445
1620, 1, 10, 3927, 242, -443, 43, 27, -98, 497, 153, 355
1620, 2, 10, 4441, 848, 4323, -13, -180, 3, -466, -27, 389
1640, 0, 10, 3126, 417, 623, -59, -67, -107, 52, -324, -319
1640, 1, 10, 4140, 271, -218, 41, -165, 84, 305, -4, 538
1640, 2, 10, 4236, 775, 4483, -46, 159, 14, -336, -309, 163
1660, 0, 10, 3165, 243, 480, -68, -48, -124, 101, -283, -348
1660, 1, 10, 4219, 262, -85, 8, -179, 82, -27, -487, 109
1660, 2, 10, 4079, 624, 4444, -63, 136, 37, -268, -282, -244
1680, 0, 10, 3223, 146, 281, -62, -18, -152, 141, -134, -419
1680, 1, 10, 4166, 60, -111, 44, 171, 76, -231, -309, -236
1680, 2, 10, 3962, 587, 4262, -60, 128, 42, -198, 64, -411
1700, 0, 10, 3282, 103, 72, -35, 6, -169, 455, 5, -54
1700, 1, 10, 4013, -38, -248, 52, 152, 62, -352, -117, -275
1700, 2, 10, 3887, 696, 4133, -70, 139, 34, -116, 368, 52
1720, 0, 10, 3429, 115, 127, -38, -27, -160, -18, 4, 300
1720, 1, 10, 3832, -78, -385, 46, 153, 65, -358, -62, -286
1720, 2, 10, 3830, 878, 4046, -79, 143, 31, -115, 265, -354
1740, 0, 10, 3448, 95, 23, -59, -37, -152, 284, -152, -534
1740, 1, 10, 3686, -105, -520, 67, 135, 51, -13, -38, -125
1740, 2, 10, 3790, 968, 3839, -86, -131, -56, -37, 205, -411
1760, 0, 4, 3551, 59, -182, -31, -48, -138, 141, 133, -288
1760, 1, 10, 3661, -110, -548, 61, 127, 45, -291, 7, -141
1760, 2, 10, 3795, 1146, 3703, -69, -92, -96, 36, 417, -196
1780, 0, 2, 3644, 186, -339, -55, -107, -101, 198, 302, -289
1780, 1, 10, 3449, -91, -609, 53, 64, -14, -452, 73, -52
1780, 2, 10, 3805, 1064, 3548, -73, -88, -98, 0, -300, -349
1800, 1, 10, 3458, -144, -658, 16, 53, -22, 124, -308, -212
1800, 2, 10, 3809, 978, 3341, -73, 74, 101, 23, -27, -458
1820, 1, 10, 3529, -329, -773, 31, 66, -17, 174, -353, -232
1820, 2, 10, 3827, 1033, 3123, -85, -59, -127, 41, 157, -430
1840, 1, 10, 3672, -450, -860, 36, 70, -14, 228, -62, -43
1840, 2, 10, 3843, 1065, 2896, -85, -59, -127, 27, 11, -461
1860, 1, 10, 3772, -379, -777, 66, 77, -11, 171, 237, 352
1860, 2, 10, 3855, 1059, 2666, -85, -59, -127, 23, -24, -461
1880, 1, 10, 3830, -280, -578, 82, 5, -82, 87, 137, 431
1880, 2, 10, 3865, 1041, 2436, -84, -71, -115, 17, -42, -460
1900, 1, 10, 3868, -246, -354, 82, -12, -98, 72, 24, 456
1900, 2, 10, 3902, 1025, 2201, -53, -6, -180, 217, -34, -523
1920, 1, 10, 3903, -243, -125, 82, -12, -98, 68, -5, 457
1920, 2, 10, 4034, 1008, 1956, -69, -6, -180, 248, -28, -490
1940, 1, 10, 3956, -249, 98, 82, -6, -93, 132, -15, 442
1940, 2, 10, 4071, 998, 1674, -82, -4, 177, 12, -15, -576
1960, 1, 10, 4021, -233, 354, 74, 68, -20, 129, 43, 558
1960, 2, 10, 4072, 992, 1389, -83, -13, -174, 6, -12, -562
1980, 1, 10, 4064, -277, 694, 77, 122, 31, 37, -132, 748
1980, 2, 10, 4073, 985, 1112, -83, -13, -174, 4, -14, -547
2000, 0, 10, 3690, 3214, -2003, 1, -129, -90, 0, -0, 0
2000, 1, 10, 4032, -307, 1020, 67, -173, 90, -51, -42, 646
2000, 2, 10, 4071, 945, 818, -65, -87, -101, 32, -310, -808
2020, 0, 10, 3690, 3214, -2003, 0, -100, -180, 0, -0, 0
2020, 1, 10, 4028, -326, 1341, 75, 174, 39, 3, -32, 634
2020, 2, 10, 4067, 773, 426, -26, -101, -90, -36, -429, -721
2040, 0, 10, 3680, 3126, -2002, -1, -94, -180, -46, -423, 7
2040, 1, 10, 4016, -347, 1623, -48, -137, 62, -491, -451, -730
2040, 2, 10, 4024, 503, 157, 54, -116, -98, -108, -545, -466
2060, 0, 10, 3674, 2898, -2029, -24, -86, -180, 11, -447, -116
2060, 1, 10, 4004, -545, 1736, -68, 25, -96, -204, -335, 228
2060, 2, 10, 4022, 483, -97, 54, -116, -98, 78, 307, -388
2080, 0, 10, 3684, 2680, -2104, -20, -84, 177, 30, -431, -164
2080, 1, 10, 3919, -650, 1826, -63, 46, -115, 78, -38, 153
2080, 2, 10, 4073, 674, -140, 48, -109, -93, 88, 344, 176
2100, 0, 10, 3709, 2461, -2171, -5, -79, 177, 68, -447, -96
2100, 1, 10, 3956, -653, 1872, -57, 18, -93, -172, -46, -115
2100, 2, 10, 4045, 744, 30, 22, -111, -93, -119, -111, 383
2120, 0, 10, 3747, 2235, -2202, 0, -83, 177, 71, -455, -34
2120, 1, 10, 3770, -700, 1828, -38, 171, 107, -452, -90, -23
2120, 2, 10, 3959, 604, 177, -14, -108, -96, -203, -373, 167
2140, 0, 10, 3764, 1950, -2262, -17, -89, 177, 6, -686, -206
2140, 1, 10, 3541, -723, 1763, -66, 179, 101, -413, -16, -378
2140, 2, 10, 3886, 398, 246, -72, -42, -143, -101, -431, 132
2160, 0, 10, 3767, 1638, -2351, -9, -89, 177, 9, -593, -145
2160, 1, 10, 3369, -730, 1617, -80, 22, -101, 28, 4, -467
2160, 2, 10, 3855, 175, 272, -76, 17, 160, -16, -442, -97
2180, 0, 10, 3795, 1346, -2404, -0, -46, 174, 160, -555, -70
2180, 1, 10, 3372, -711, 1410, -67, 1, -82, -3, 23, -343
2180, 2, 10, 3881, 39, 117, -68, 35, 143, 102, -117, -430
2200, 0, 10, 3926, 1098, -2424, 2, -43, 174, 326, -448, -18
2200, 1, 10, 3328, -704, 1168, -73, 5, -87, -86, 14, -553
2200, 2, 10, 3964, 7, -93, -12, 63, 132, 203, -130, -393
2220, 0, 10, 4104, 893, -2424, 5, -41, 174, 373, -378, 18
2220, 1, 10, 3344, -697, 936, -68, 2, -84, 45, 4, -458
2220, 2, 10, 4083, -55, -281, 24, 80, 132, 274, -74, -363
2240, 0, 10, 4288, 714, -2409, 3, -53, 129, 344, -357, 31
2240, 1, 10, 3372, -698, 708, -69, -0, -82, -32, -1, -453
2240, 2, 10, 4245, -3, -420, 75, 152, -172, 342, 253, -167
2260, 0, 10, 4427, 525, -2408, -7, -67, 87, 233, -398, -23
2260, 1, 10, 3464, -683, 571, 37, 10, -93, 448, 114, 13
2260, 2, 10, 4402, 140, -506, 76, -119, -82, 291, 302, -181
2280, 0, 10, 4526, 319, -2438, -21, -76, 112, 166, -420, -97
2280, 1, 10, 3651, -632, 572, -27, 38, -96, 283, 104, 6
2280, 2, 10, 4545, 314, -517, 57, -86, -56, 270, 362, 92
2300, 0, 10, 4568, 105, -2505, -9, -124, -177, -40, -434, -142
2300, 1, 10, 3821, -485, 408, -32, 50, -101, 143, 167, -379
2300, 2, 10, 4672, 488, -437, 45, -93, -62, 244, 326, 218
2320, 0, 10, 4473, -95, -2530, 51, -160, -132, -287, -337, 87
2320, 1, 10, 3836, -441, 186, -0, 40, -96, -6, 58, -458
2320, 2, 10, 4790, 634, -303, 32, -100, -67, 228, 253, 312
2340, 0, 10, 4346, -163, -2394, 12, 92, -177, -188, 113, 316
2340, 1, 10, 3887, -363, -22, -5, 48, -96, 148, 208, -385
2340, 2, 10, 4900, 743, -132, 28, -102, -67, 217, 189, 362
2360, 0, 10, 4304, -41, -2265, -23, -44, 138, 69, 45, 67
2360, 1, 10, 3995, -234, -114, 6, 46, -96, 288, 303, 70
2360, 2, 10, 4968, 814, 65, 3, -116, -70, -12, 90, 448
2380, 0, 10, 4402, -133, -2216, 47, -89, 121, 217, -347, 199
2380, 1, 10, 4134, -98, -4, 14, 49, -96, 272, 277, 196
2380, 2, 6, 4975, 793, 291, -22, -137, -67, -8, -113, 447
2400, 0, 10, 4466, -255, -2047, 84, 171, 22, 97, -97, 436
2400, 1, 10, 4266, 39, 94, 21, 43, -98, 181, 153, 357
2400, 2, 4, 4974, 710, 506, -27, -136, -67, -10, -183, 424
2420, 0, 10, 4485, -265, -1825, 78, 114, -34, 5, 34, 457
2420, 1, 8, 4291, 34, 313, 24, 40, -98, -27, -99, 450
2440, 0, 10, 4475, -238, -1596, 81, 140, -8, -37, 56, 457
2440, 1, 8, 4302, 22, 444, -21, 49, -98, 109, 113, -30
2460, 0, 10, 4455, -210, -1369, 78, 110, -39, -32, 53, 397
2460, 1, 8, 4290, 37, 332, -63, 99, -141, -146, -27, -364
