X,Y,Z
3498.00,2519.00,-1476.00
2283.00,2182.00,-2682.00
2441.00,2263.00,-29.00
1895.00,491.00,3236.00
3159.00,-1202.00,462.00
2949.00,-1066.00,318.00
3767.00,-789.00,242.00
3868.00,1982.00,-929.00
5664.00,630.00,-1669.00
4041.00,-529.00,345.00
5250.00,-322.00,1187.00
4805.00,-711.00,2623.00
4645.00,2495.00,3353.00
3826.00,-681.00,-9.00
4343.00,555.00,-1110.00
4457.00,-394.00,-808.00
3741.00,1194.00,138.00
3660.00,1323.00,288.00
2535.00,-2061.00,1764.00
2531.00,-659.00,1106.00
2971.00,1978.00,-818.00
3122.00,307.00,-753.00
2923.00,3015.00,372.00
2912.00,2400.00,191.00
2780.00,565.00,1509.00
2986.00,567.00,-531.00
2973.00,253.00,-368.00
3290.00,3295.00,-2169.00
2103.00,869.00,928.00
4420.00,-674.00,692.00
4451.00,-3411.00,838.00
1999.00,-659.00,2031.00
3468.00,2270.00,-954.00
2545.00,478.00,-1044.00
3491.00,1760.00,-448.00
3501.00,1173.00,3545.00
1218.00,1103.00,490.00
4375.00,206.00,-2645.00
5804.00,720.00,-2280.00
5550.00,292.00,1398.00
-5379.00,-1520.00,-287.00
796.00,2507.00,179.00
-4540.00,-2427.00,-354.00
5697.00,284.00,-473.00
5120.00,217.00,-161.00
2695.00,421.00,202.00
4094.00,803.00,132.00
2553.00,366.00,335.00
-5124.00,-1873.00,-252.00
2771.00,1869.00,212.00
2584.00,1619.00,265.00
1219.00,727.00,168.00
2802.00,603.00,262.00
893.00,298.00,365.00
-4684.00,-3773.00,-413.00
-1594.00,173.00,368.00
3249.00,663.00,450.00
-301.00,1553.00,543.00
494.00,518.00,291.00
-482.00,-2307.00,77.00
-2414.00,2459.00,798.00
2072.00,1006.00,316.00
-3122.00,3604.00,630.00
857.00,367.00,295.00
5081.00,832.00,-423.00
5186.00,57.00,-380.00
2813.00,646.00,225.00
4233.00,435.00,13.00
4347.00,732.00,153.00
4861.00,624.00,-145.00
-776.00,-1476.00,165.00
-460.00,-766.00,286.00
-420.00,-1229.00,111.00
-501.00,-998.00,192.00
308.00,2314.00,322.00
227.00,2274.00,188.00
211.00,1903.00,128.00
-1302.00,2364.00,502.00
-879.00,2641.00,1085.00
-145.00,1815.00,628.00
-50.00,2935.00,395.00
213.00,2751.00,178.00
1905.00,3310.00,-26.00
-631.00,2742.00,708.00
-2696.00,2920.00,262.00
-258.00,1795.00,521.00
365.00,2158.00,192.00
-1862.00,2584.00,203.00
-837.00,773.00,377.00
-824.00,1645.00,600.00
-1756.00,1604.00,410.00
411.00,-1640.00,-118.00
1830.00,1069.00,619.00
241.00,-2821.00,-409.00
-541.00,971.00,648.00
-391.00,706.00,301.00
495.00,-1424.00,95.00
73.00,732.00,450.00
-1339.00,2810.00,1085.00
-1625.00,2777.00,315.00
-1598.00,2688.00,457.00
-648.00,1167.00,729.00
6268.00,2488.00,-380.00
2784.00,1960.00,32.00
5893.00,1548.00,-238.00
-4209.00,-2348.00,-250.00
5718.00,2208.00,-26.00
4676.00,1627.00,21.00
-5725.00,-2022.00,464.00
4498.00,1626.00,25.00
1011.00,-2799.00,-384.00
-3357.00,-98.00,324.00
-2371.00,97.00,299.00
1334.00,-1989.00,409.00
1659.00,-2466.00,551.00
2957.00,650.00,190.00
2069.00,4016.00,157.00
2145.00,3425.00,123.00
-847.00,2274.00,593.00
-530.00,3827.00,-474.00
-911.00,2943.00,438.00
-780.00,3122.00,278.00
103.00,2571.00,922.00
685.00,2630.00,187.00
-660.00,1609.00,701.00
-839.00,801.00,545.00
-822.00,543.00,341.00
-660.00,880.00,689.00
4437.00,1939.00,211.00
2155.00,2342.00,191.00
-5384.00,2576.00,148.00
761.00,2801.00,173.00
99.00,2297.00,696.00
-949.00,1767.00,719.00
-7271.00,449.00,250.00
-506.00,2933.00,911.00
5839.00,-492.00,-464.00
-3854.00,84.00,179.00
1547.00,-5.00,208.00
-347.00,1465.00,798.00
-433.00,1283.00,833.00
-610.00,946.00,617.00
-4817.00,-3592.00,-364.00
2318.00,2404.00,275.00
5279.00,-1994.00,-400.00
5986.00,-712.00,-244.00
2807.00,1914.00,30.00
1779.00,2314.00,356.00
3584.00,1034.00,89.00
5040.00,330.00,-142.00
-5889.00,393.00,322.00
3562.00,1747.00,-7.00
1189.00,875.00,918.00
-3665.00,-961.00,502.00
-146.00,-867.00,1299.00
2549.00,-487.00,559.00
2262.00,-1062.00,558.00
1525.00,-1702.00,427.00
7257.00,-62.00,824.00
1172.00,143.00,1001.00
1980.00,-374.00,725.00
2077.00,-833.00,894.00
236.00,-223.00,425.00
926.00,293.00,858.00
-1997.00,-75.00,528.00
1898.00,241.00,-337.00
-123.00,-926.00,898.00
-163.00,-695.00,925.00
3574.00,1354.00,884.00
-2533.00,-82.00,615.00
175.00,510.00,1500.00
1649.00,-1937.00,518.00
-1744.00,-273.00,548.00
-161.00,908.00,509.00
-151.00,573.00,679.00
-1670.00,-378.00,426.00
-369.00,732.00,263.00
-598.00,438.00,360.00
1195.00,1300.00,1529.00
727.00,214.00,807.00
124.00,-226.00,427.00
989.00,-711.00,552.00
226.00,-1873.00,1600.00
814.00,835.00,242.00
206.00,-597.00,877.00
2543.00,-814.00,767.00
409.00,-1808.00,1401.00
563.00,-2096.00,1594.00
80.00,-1851.00,1402.00
-525.00,-1703.00,1301.00
-1785.00,-268.00,2066.00
-2939.00,-678.00,1694.00
597.00,-720.00,740.00
-2346.00,-113.00,645.00
12.00,-1038.00,900.00
-237.00,-636.00,1055.00
196.00,310.00,1231.00
471.00,1184.00,729.00
1004.00,-505.00,1367.00
1186.00,-201.00,1548.00
1489.00,-681.00,2242.00
-1938.00,-889.00,1751.00
-1407.00,135.00,1248.00
-633.00,-1415.00,1469.00
1019.00,-288.00,864.00
-786.00,-961.00,1902.00
-2579.00,-1547.00,1843.00
2569.00,-179.00,425.00
416.00,632.00,1381.00
-928.00,1516.00,2677.00
-1654.00,-355.00,496.00
2286.00,51.00,528.00
-502.00,-1870.00,665.00
-1257.00,-1141.00,690.00
-1217.00,-682.00,963.00
499.00,-50.00,1079.00
-1828.00,-463.00,431.00
-1946.00,-457.00,523.00
232.00,-1185.00,1122.00
3365.00,-190.00,1014.00
3983.00,2437.00,1499.00
1162.00,-1507.00,1235.00
1282.00,-707.00,1866.00
-2018.00,892.00,704.00
-735.00,-2420.00,1060.00
377.00,-1523.00,976.00
-1933.00,-1703.00,787.00
-3216.00,-896.00,367.00
-2581.00,635.00,1340.00
-1873.00,454.00,1243.00
-602.00,485.00,1360.00
-128.00,-575.00,1712.00
-3665.00,-1375.00,502.00
1047.00,1041.00,847.00
958.00,845.00,718.00
1860.00,-1425.00,686.00
3506.00,-1755.00,1863.00
511.00,-184.00,2386.00
112.00,910.00,2166.00
-1132.00,-443.00,1549.00
-692.00,-603.00,1214.00
1162.00,-1969.00,1750.00
-1186.00,-1327.00,1585.00
92.00,-2433.00,1581.00
733.00,-1108.00,1883.00
-1856.00,-637.00,2227.00
-1125.00,-744.00,1926.00
444.00,-394.00,1302.00
-793.00,-2380.00,1371.00
219.00,-2195.00,1986.00
-1225.00,-1170.00,1187.00
-312.00,-1304.00,1024.00
-2241.00,-2048.00,604.00
-1928.00,-1701.00,443.00
-1933.00,-941.00,2432.00
-2531.00,425.00,2234.00
