x,y,z,count
3667.2606107660454,3196.827898550724,-2041.0551242236027,23
4314.6,1117.4,2619.55,2
4739.5,1525.125,-740.3125,2
6171.492537313427,3008.582089552238,2026.1343283582084,7
4804.944444444444,2318.9999999999986,3476.4999999999995,3
2974.5384615384614,-2439.794871794871,-298.4358974358974,4
4044.8225806451596,2190.064516129032,3201.2258064516127,7
1370.4035087719296,-2292.210526315789,1033.6491228070174,6
3871.7714285714283,1097.7428571428568,158.0285714285714,7
3626.6499999999996,2582.75,795.5500000000001,2
3785.9999999999995,6685.0,577.0999999999999,2
1956.0317460317458,1190.2539682539682,315.6190476190475,8
4067.5789473684213,194.47368421052633,3812.2631578947367,3
4808.0243902439015,348.39024390243895,869.9024390243902,6
3261.8965517241377,-1550.8620689655172,-3616.7241379310344,3
5739.948717948716,851.1025641025641,-759.9230769230769,5
2568.5344827586205,868.7586206896552,1035.2758620689656,6
5075.315789473683,1526.6315789473683,3008.9999999999995,6
2595.188235294116,2328.517647058824,-214.8470588235294,8
4461.555555555554,107.25925925925924,4455.777777777777,4
4650.757575757577,220.39393939393943,-2654.954545454545,8
1676.0,-832.9523809523808,-276.23809523809524,3
3849.6071428571427,118.67857142857142,-13.03571428571428,7
4339.461538461539,654.5076923076923,-1058.3230769230768,7
5644.0,-3156.0,-143.0,1
3715.0238095238083,-1376.4761904761904,768.9047619047618,5
3529.9999999999995,1368.0,1942.0,2
3433.954545454544,2022.2272727272725,1699.6363636363635,5
2431.1428571428564,1008.0,2196.0285714285715,6
6904.473684210525,4306.912280701753,964.8245614035087,8
4622.973684210526,-600.0000000000001,-147.21052631578945,4
4335.555555555553,-778.7037037037037,1643.2839506172832,9
2272.999999999999,2233.8888888888887,2168.5185185185182,3
6749.574468085104,2397.1276595744675,1160.1063829787233,7
7194.592592592592,1514.8518518518515,3235.3333333333335,3
7571.674418604651,1236.8372093023252,1443.0,5
4549.0,-267.0,-116.0,3
4935.999999999999,-1273.1999999999998,5300.900000000001,2
4953.847826086956,2279.04347826087,1756.6739130434785,10
3358.5588235294117,2117.2352941176464,-894.1764705882351,4
4212.508196721311,1421.1311475409834,1071.1475409836062,7
2382.1333333333328,4084.866666666667,-740.6666666666666,3
4798.921568627449,-402.921568627451,3332.882352941176,5
3856.818181818182,1236.2727272727275,-3388.6363636363635,2
3013.1499999999996,3121.1999999999994,177.44999999999996,3
1496.125,-748.1249999999999,903.5,3
2960.628571428571,-621.1142857142858,-2232.3714285714286,5
1431.5666666666666,2223.833333333333,856.0666666666664,4
7045.446808510637,738.5531914893613,-47.531914893617,5
2898.2173913043475,2618.608695652174,1642.8260869565217,3
4261.181818181818,2356.6363636363635,1012.0,3
4582.0,4263.793103448275,3702.068965517241,4
3666.8378378378366,2203.1621621621616,-208.35135135135133,7
4093.6065573770475,2198.590163934425,-1845.5901639344258,7
5940.288888888889,1820.6888888888884,-843.7333333333333,5
4495.13725490196,651.4117647058822,162.25490196078428,4
5275.648648648649,1145.3783783783783,2673.729729729729,6
4279.916666666667,2993.611111111111,617.4444444444445,3
5461.551724137932,-61.32183908045975,1717.0804597701147,13
3193.4615384615386,1182.9999999999998,4643.153846153847,4
4400.303571428572,392.8035714285714,3265.428571428571,7
4444.142857142857,715.0,5492.428571428572,1
3568.730769230769,2518.923076923077,-1507.423076923077,4
4328.711538461537,2911.5,133.23076923076928,6
6159.766666666666,1409.9333333333336,2690.5666666666666,3
5596.557692307691,-1532.0384615384614,2696.1538461538457,8
3913.6883116883114,-409.14285714285705,-1676.8441558441561,11
3057.910256410257,364.7820512820514,-1533.6666666666663,9
2891.439024390244,2899.4634146341464,2553.7073170731715,6
5891.4358974358975,-1565.538461538461,793.8205128205126,5
6593.140624999997,-541.6093749999998,1105.4999999999995,7
1831.1206896551719,-6.586206896551722,1875.9999999999998,6
2858.233333333333,-2095.499999999999,1641.5333333333333,5
5962.140000000001,-1884.1199999999997,1619.2799999999997,5
4609.612903225803,142.77419354838705,369.03225806451604,5
5671.064516129031,916.6129032258065,-2269.7419354838703,5
2862.311111111111,2484.3111111111107,-1442.6222222222225,5
3690.058823529412,431.2941176470589,3128.117647058824,2
4030.7948717948702,-524.076923076923,-271.92307692307685,8
2483.7096774193546,-223.51612903225805,3315.58064516129,3
3864.6666666666665,3733.7619047619046,1152.8095238095234,3
8149.535714285714,874.7142857142858,-834.0714285714288,3
3721.1707317073174,754.9512195121948,-447.7804878048781,6
5476.945454545452,1081.3636363636358,38.054545454545455,7
3478.5454545454527,2340.3636363636356,2402.6666666666665,3
7385.84,1883.6000000000001,-1576.48,4
3671.1428571428564,1463.8857142857141,-1314.2,5
2038.812499999999,4416.437499999998,-124.09374999999994,4
3006.578947368421,1872.8421052631577,2494.105263157895,4
4218.083333333333,-399.9166666666666,3586.416666666666,3
6412.761904761905,134.66666666666666,3595.285714285713,2
716.4603174603176,2261.380952380952,591.8571428571425,8
2615.875,316.2999999999999,4245.3499999999985,5
4376.384615384614,-245.91025641025635,-812.3205128205127,9
3560.6399999999994,-1236.24,2846.2400000000002,3
1974.6825396825393,2626.1269841269846,6.047619047619039,8
5255.03125,-925.6562499999999,1953.7656249999995,8
2692.75,2444.624999999999,949.625,3
5733.44,-614.04,-382.52,6
4503.666666666667,2161.245614035087,-1.4736842105263166,7
70.55555555555556,-2031.0555555555554,6422.388888888887,2
3538.791666666665,-991.5833333333331,-1405.8333333333326,7
2631.2117647058817,685.329411764706,-770.5764705882351,10
4098.199999999999,2447.057142857142,2303.142857142857,5
1367.581395348837,769.6279069767438,2751.581395348836,6
2045.375,2115.825,-2438.7749999999996,5
3082.9545454545455,2535.0909090909095,144.9090909090909,4
5730.793103448275,-1158.5172413793102,-1850.2758620689656,4
4104.7317073170725,1435.09756097561,-532.4634146341464,5
2485.2558139534885,1481.0465116279067,-1214.3953488372092,7
1682.037037037037,1386.7037037037037,-162.88888888888886,4
-1525.6923076923078,4516.076923076924,-706.0769230769231,1
4809.476190476188,2560.238095238095,1042.1904761904761,2
4318.727272727273,-835.6363636363636,2860.4545454545455,2
6188.5,1323.9761904761901,1278.1904761904757,7
3430.2666666666664,581.6666666666666,2713.8,2
5207.033333333333,3613.4999999999995,711.6666666666663,7
4390.19512195122,1039.9999999999998,-543.8780487804877,6
4790.774193548387,1388.548387096774,1116.8064516129032,3
3177.5000000000005,2977.928571428571,598.5,2
4585.758620689655,-1240.0344827586202,-576.0,5
1643.2068965517242,3152.8965517241368,3508.0344827586205,4
2938.2916666666665,-169.12499999999997,594.6874999999998,7
4797.166666666666,-696.2916666666665,2498.791666666666,4
3908.0,3087.5,3425.0,2
5031.933333333333,-911.5333333333334,2549.0,2
4961.142857142856,1994.7142857142856,-1339.392857142857,3
7376.0,1246.0,5855.0,1
5301.1851851851825,-1.4814814814814814,-1297.8148148148148,4
1706.0277777777776,751.9444444444442,-2977.3611111111104,4
5681.235294117647,300.97058823529403,2653.95588235294,10
1664.4000000000003,5628.56,-3186.0,3
1993.2758620689658,-1727.6206896551728,-1026.2758620689656,3
1786.6923076923078,-1329.4230769230767,-2375.846153846154,3
4195.173913043476,-658.463768115942,554.9710144927535,10
2745.555555555555,-3304.3888888888882,-1686.6388888888887,4
6764.018181818178,1504.9636363636364,470.9272727272727,7
808.375,1987.2916666666663,-976.0416666666666,3
5614.820512820512,1921.0,3527.0512820512813,4
1093.777777777778,1200.377777777778,165.39999999999998,5
4085.0,2827.2499999999995,1599.7499999999998,3
3187.551020408164,1012.2653061224488,3256.6326530612237,6
1980.5294117647059,-2029.7058823529412,381.1470588235294,5
8024.928571428571,8621.357142857141,1492.2857142857142,1
3313.866666666667,-440.51111111111095,1928.6666666666667,4
4782.194444444443,1831.111111111111,-2582.61111111111,4
4300.317073170731,2920.6097560975604,-1335.512195121951,5
6638.0,1291.0,-3173.0,1
5901.705882352941,1675.8823529411761,1561.8529411764703,5
-93.07692307692304,126.51282051282048,335.53846153846155,5
1741.7903225806451,1437.1774193548379,1863.596774193548,7
4045.0,-537.3333333333333,2482.777777777778,3
2865.1785714285706,-536.6428571428571,-1374.6309523809527,9
3780.4666666666653,554.3466666666665,1236.1999999999996,9
3072.8407079646026,-1034.8849557522121,307.67256637168117,11
4994.472222222221,3600.7499999999995,-1656.7222222222222,4
867.0,-2106.0,-639.0,1
4176.263736263733,2179.593406593407,-818.7472527472527,12
2052.71875,1881.21875,-526.28125,5
439.42307692307696,-976.4423076923076,3391.403846153847,6
1767.5576923076922,168.40384615384616,3470.461538461538,5
5217.000000000001,2552.333333333333,-2240.333333333333,3
5098.441176470588,2255.7647058823522,2705.294117647059,4
7033.4375,-4109.1875,5440.0,1
5606.0,757.7142857142857,-1599.7142857142856,3
3405.9438202247184,1571.6292134831458,-2306.0337078651673,11
5007.375,-2095.9999999999995,794.2291666666666,8
2102.807017543859,-157.68421052631578,-364.91228070175436,7
1737.7727272727273,2869.2727272727275,1668.2727272727273,4
