map,x,y,z
Stadium,3741,1194,138
Stadium,3660,1323,288
Stadium,2535,-2061,1764
Stadium,2531,-659,1106
Stadium,2971,1978,-818
Stadium,3122,307,-753
Stadium,2923,3015,372
Stadium,2912,2400,191
Stadium,2780,565,1509
Stadium,2986,567,-531
Stadium,2973,253,-368
Stadium,3290,3295,-2169
Stadium,2103,869,928
Stadium,4420,-674,692
Stadium,4451,-3411,838
Stadium,1999,-659,2031
Stadium,3468,2270,-954
Stadium,2545,478,-1044
Stadium,3491,1760,-448
Stadium,3501,1173,3545
Stadium,1218,1103,490
Stadium,4375,206,-2645
Stadium,5804,720,-2280
Stadium,5550,292,1398
Observatory,-5379,-1520,-287
Observatory,796,2507,179
Observatory,-4540,-2427,-354
Observatory,5697,284,-473
Observatory,5120,217,-161
Observatory,2695,421,202
Observatory,4094,803,132
Observatory,2553,366,335
Observatory,-5124,-1873,-252
Observatory,2771,1869,212
Observatory,2584,1619,265
Observatory,1219,727,168
Observatory,2802,603,262
Observatory,893,298,365
Observatory,-4684,-3773,-413
Observatory,-1594,173,368
Observatory,3249,663,450
Observatory,-301,1553,543
Observatory,494,518,291
Observatory,-482,-2307,77
Observatory,-2414,2459,798
Observatory,2072,1006,316
Observatory,-3122,3604,630
Observatory,857,367,295
Observatory,5081,832,-423
Observatory,5186,57,-380
Observatory,2813,646,225
Observatory,4233,435,13
Observatory,4347,732,153
Observatory,4861,624,-145
Observatory,-776,-1476,165
Observatory,-460,-766,286
Observatory,-420,-1229,111
Observatory,-501,-998,192
Observatory,308,2314,322
Observatory,227,2274,188
Observatory,211,1903,128
Observatory,-1302,2364,502
Observatory,-879,2641,1085
Observatory,-145,1815,628
Observatory,-50,2935,395
Observatory,213,2751,178
Observatory,1905,3310,-26
Observatory,-631,2742,708
Observatory,-2696,2920,262
Observatory,-258,1795,521
Observatory,365,2158,192
Observatory,-1862,2584,203
Observatory,-837,773,377
Observatory,-824,1645,600
Observatory,-1756,1604,410
Observatory,411,-1640,-118
Observatory,1830,1069,619
Observatory,241,-2821,-409
Observatory,-541,971,648
Observatory,-391,706,301
Observatory,495,-1424,95
Observatory,73,732,450
Observatory,-1339,2810,1085
Observatory,-1625,2777,315
Observatory,-1598,2688,457
Observatory,-648,1167,729
Observatory,6268,2488,-380
Observatory,2784,1960,32
Observatory,5893,1548,-238
Observatory,-4209,-2348,-250
Observatory,5718,2208,-26
Observatory,4676,1627,21
Observatory,-5725,-2022,464
Observatory,4498,1626,25
Observatory,1011,-2799,-384
Observatory,-3357,-98,324
Observatory,-2371,97,299
Observatory,1334,-1989,409
Observatory,1659,-2466,551
Observatory,2957,650,190
Observatory,2069,4016,157
Observatory,2145,3425,123
Observatory,-847,2274,593
Observatory,-530,3827,-474
Observatory,-911,2943,438
Observatory,-780,3122,278
Observatory,103,2571,922
Observatory,685,2630,187
Observatory,-660,1609,701
Observatory,-839,801,545
Observatory,-822,543,341
Observatory,-660,880,689
Observatory,4437,1939,211
Observatory,2155,2342,191
Observatory,-5384,2576,148
Observatory,761,2801,173
Observatory,99,2297,696
Observatory,-949,1767,719
Observatory,-7271,449,250
Observatory,-506,2933,911
Observatory,5839,-492,-464
Observatory,-3854,84,179
Observatory,1547,-5,208
Observatory,-347,1465,798
Observatory,-433,1283,833
Observatory,-610,946,617
Observatory,-4817,-3592,-364
Observatory,2318,2404,275
Observatory,5279,-1994,-400
Observatory,5986,-712,-244
Observatory,2807,1914,30
Observatory,1779,2314,356
Observatory,3584,1034,89
Observatory,5040,330,-142
Observatory,-5889,393,322
Observatory,3562,1747,-7
Outpost,1189,875,918
Outpost,-3665,-961,502
Outpost,-146,-867,1299
Outpost,2549,-487,559
Outpost,2262,-1062,558
Outpost,1525,-1702,427
Outpost,7257,-62,824
Outpost,1172,143,1001
Outpost,1980,-374,725
Outpost,2077,-833,894
Outpost,236,-223,425
Outpost,926,293,858
Outpost,-1997,-75,528
Outpost,1898,241,-337
Outpost,-123,-926,898
Outpost,-163,-695,925
Outpost,3574,1354,884
Outpost,-2533,-82,615
Outpost,175,510,1500
Outpost,1649,-1937,518
Outpost,-1744,-273,548
Outpost,-161,908,509
Outpost,-151,573,679
Outpost,-1670,-378,426
Outpost,-369,732,263
Outpost,-598,438,360
Outpost,1195,1300,1529
Outpost,727,214,807
Outpost,124,-226,427
Outpost,989,-711,552
Outpost,226,-1873,1600
Outpost,814,835,242
Outpost,206,-597,877
Outpost,2543,-814,767
Outpost,409,-1808,1401
Outpost,563,-2096,1594
Outpost,80,-1851,1402
Outpost,-525,-1703,1301
Outpost,-1785,-268,2066
Outpost,-2939,-678,1694
Outpost,597,-720,740
Outpost,-2346,-113,645
Outpost,12,-1038,900
Outpost,-237,-636,1055
Outpost,196,310,1231
Outpost,471,1184,729
Outpost,1004,-505,1367
Outpost,1186,-201,1548
Outpost,1489,-681,2242
Outpost,-1938,-889,1751
Outpost,-1407,135,1248
Outpost,-633,-1415,1469
Outpost,1019,-288,864
Outpost,-786,-961,1902
Outpost,-2579,-1547,1843
Outpost,2569,-179,425
Outpost,416,632,1381
Outpost,-928,1516,2677
Outpost,-1654,-355,496
Outpost,2286,51,528
Outpost,-502,-1870,665
Outpost,-1257,-1141,690
Outpost,-1217,-682,963
Outpost,499,-50,1079
Outpost,-1828,-463,431
Outpost,-1946,-457,523
Outpost,232,-1185,1122
Outpost,3365,-190,1014
Outpost,3983,2437,1499
Outpost,1162,-1507,1235
Outpost,1282,-707,1866
Outpost,-2018,892,704
Outpost,-735,-2420,1060
Outpost,377,-1523,976
Outpost,-1933,-1703,787
Outpost,-3216,-896,367
Outpost,-2581,635,1340
Outpost,-1873,454,1243
Outpost,-602,485,1360
Outpost,-128,-575,1712
Outpost,-3665,-1375,502
Outpost,1047,1041,847
Outpost,958,845,718
Outpost,1860,-1425,686
Outpost,3506,-1755,1863
Outpost,511,-184,2386
Outpost,112,910,2166
Outpost,-1132,-443,1549
Outpost,-692,-603,1214
Outpost,1162,-1969,1750
Outpost,-1186,-1327,1585
Outpost,92,-2433,1581
Outpost,733,-1108,1883
Outpost,-1856,-637,2227
Outpost,-1125,-744,1926
Outpost,444,-394,1302
Outpost,-793,-2380,1371
Outpost,219,-2195,1986
Outpost,-1225,-1170,1187
Outpost,-312,-1304,1024
Outpost,-2241,-2048,604
Outpost,-1928,-1701,443
Outpost,-1933,-941,2432
Outpost,-2531,425,2234
Outpost,-5082,360,2654
Outpost,-276,-2719,1362
Outpost,-1054,943,1083
Outpost,-347,-929,2238
Outpost,1512,-330,892
Outpost,535,-2160,1500
Outpost,-3721,-692,5065
Outpost,-3697,-2804,1428
Outpost,-1728,-1372,1818
Outpost,-1143,-1444,1479
Outpost,-2084,-163,2322
Outpost,-3016,-620,2619
Outpost,-749,-1863,646
Outpost,-464,-1315,816
Outpost,-1813,-197,629
Outpost,4,-2180,894
Outpost,-1387,-1558,1674
Outpost,260,-2281,710
Outpost,-499,595,465
Outpost,418,-1432,1347
Outpost,244,-2151,1489
Outpost,735,-2223,1765
Outpost,-373,-2445,877
Outpost,-578,-2258,980
Outpost,301,-2135,1076
Outpost,-326,-655,1542
Outpost,-659,-1336,531
Outpost,-1026,-538,92
Outpost,151,-2232,419
Outpost,122,-2470,705
Outpost,-438,-2764,540
Outpost,-491,153,1269
Outpost,2071,-1703,2746
Outpost,1540,-1974,2235
Outpost,-654,-1043,-659
Outpost,2443,-1046,1504
Outpost,2539,-3367,1727
Outpost,609,-4690,-760
Outpost,1399,-963,1295
Outpost,1251,-3958,1201
Outpost,-749,-1497,1171
Outpost,-528,-3338,1163
Outpost,372,-3349,1615
Outpost,3479,-623,221
Outpost,-1956,683,1271
Outpost,-691,419,572
Outpost,-1092,1127,418
Outpost,-406,157,1282
Outpost,-85,-243,1130
Outpost,-455,-330,908
Outpost,1426,-452,1694
Outpost,471,-2097,1643
Outpost,1267,-2598,2204
Outpost,2087,-2253,2069
Outpost,1863,-2276,2377
