x,y,z,count
-236.8803578419857,1313.2944405293238,297.6742254587216,30
-1649.0073854249383,1655.0128951139586,318.35660994171633,37
3048.291156462585,1734.3122448979589,233.93537414965982,7
-2062.124476170183,1890.63536117622,322.47886035940047,19
-1695.5747843671877,1272.0849405214174,284.390438294076,39
1226.1117794486215,623.4461152882205,252.01854636591472,7
974.0815058479529,929.0061704506362,226.2080323357413,24
2086.2455357142853,977.7187499999999,389.54017857142856,8
1123.0833333333333,-582.7986111111112,275.99305555555554,8
-515.0085526315787,1646.1019736842104,644.1664473684209,10
1592.9893361770191,1985.7128765662485,458.8986936816846,11
1075.720600142891,1286.7246339831477,291.61326392905335,21
-3932.045526712709,-1270.0916771566926,261.8443393551751,13
-425.67621594092174,30.96004583651643,478.44621848739496,22
2764.532142857143,-612.0642857142857,428.3,5
-593.6068862632771,1875.5559135935075,424.22528941401123,21
1312.8419540229886,1337.8233716475095,448.81915708812255,9
556.0062499999998,117.878125,408.7328124999999,16
-1745.5366300366302,-842.2264957264956,183.47557997557996,12
-1724.5128205128199,881.8407655146787,216.49015235971754,9
-1585.5655583972718,1470.4329923273654,701.4318840579708,15
1659.7293779580796,971.8437570430469,205.37764818571108,12
2368.586666666666,2375.6133333333332,284.3066666666667,5
644.3961219939481,644.2222686733555,243.70295827361042,26
-978.1316498316498,2555.464646464646,411.55589225589233,9
-1140.8546315748517,280.4955298786181,574.4152213663242,17
-522.8552299308877,1389.4023790536949,640.0400717703349,18
3257.0,1110.3333333333333,285.91666666666663,4
-4092.553977272727,771.3252840909092,193.12642045454547,8
133.04801948051946,2.779740259740273,665.1871103896103,14
-1331.5000000000002,877.0714285714284,670.948051948052,6
1215.3042370181581,2237.4532380648984,419.7977517862831,21
-973.7566798227239,95.06965360615615,206.81936365841278,19
-3412.11038961039,-763.1185064935064,319.1931818181818,11
-1928.7386363636356,-1766.1522727272727,159.84318181818182,5
-118.4411582678367,17.995036779231036,334.36714282753167,31
1800.655944055944,1723.944522144522,371.15617715617714,11
-251.0701923076923,-112.23012820512817,753.0070512820512,16
-1000.0829080523433,1213.7409065935994,293.69680200640613,29
-1999.4459404324764,3105.3398612811093,598.9122807017542,12
2598.50480620155,1425.177984496124,436.1057364341085,15
2291.7091503759393,3361.787687969925,920.2004699248121,10
998.077922077922,79.97402597402596,844.6363636363636,7
410.49728937728935,347.13714285714275,240.67765567765568,21
760.0999999999998,2568.7699999999995,444.15,20
76.11177155749682,357.00862611073137,328.3102328993214,25
-3188.9720496894406,2069.0838509316773,333.53416149068323,21
-2199.084359605911,2346.415603075085,299.41890580683685,22
-1220.111111111111,-561.3333333333333,949.1666666666666,2
-2787.1204852495175,112.39591949269368,494.69368624207317,9
1126.7863636363636,1766.698484848485,351.44090909090903,11
-708.171875,3197.33984375,791.1015625,16
1519.9957452261947,-298.4186338587723,290.5655517108804,17
-1329.1825396825395,-983.3650793650793,397.58730158730157,7
