x,y,z,count
-1301.630555555555,2248.111111111112,256.8638888888888,8
-173.20869565217382,-303.4989130434782,499.7568840579709,10
3108.0691489361698,540.6489361702127,276.45212765957444,8
1607.2692307692303,30.54807692307693,533.4763986013986,12
-1008.0088991430457,1350.4162821357943,622.1506262359921,8
-988.4957501280079,-155.54859190988222,518.6117255504352,14
-1281.9643339117024,2557.583959899749,1070.426065162907,7
-1032.4453125,-1767.3359374999993,-207.2734375,4
-1506.5762869788023,214.5956207780107,658.214302352667,9
-1736.059456862773,16.132069980102454,238.70993854338644,24
-1052.292857142857,2035.7464285714286,308.73928571428576,7
2301.469362745097,-21.39460784313726,327.98529411764696,9
-3471.22030651341,14.486006996501747,248.87173080126598,9
-581.89,1283.5166666666662,540.7433333333332,14
-365.0061443932411,-101.823732718894,501.16292242703526,8
-3780.439136212625,-2523.9568106312286,-298.0258471760797,10
271.92126984126986,2049.920634920635,284.76507936507943,14
2165.57257824143,2273.663359591228,53.11624441132637,11
-1636.969005083515,479.0804793028322,316.53421931735653,18
760.5955655018694,2509.354553134886,181.54846131722746,19
-480.1310344827586,-2030.6068965517238,456.63448275862066,5
6140.387096774192,558.7718894009214,-346.8590629800307,7
731.5956160241874,272.45948601662883,294.6185185185186,21
-5192.233333333334,2118.7555555555555,234.84444444444443,4
1405.9871895424828,4.810980392156874,279.0407843137254,17
2116.4824390243894,402.1993495934958,261.1621138211382,15
4708.740013006318,1591.1150130063168,30.837142326272758,12
-638.945054945055,-286.7404595404595,310.34085914085904,13
255.8633522727273,0.33480113636360187,305.07244318181824,16
3662.210955710955,1773.2376456876452,-16.02214452214452,11
2462.0994776288894,1998.414263002498,165.35407676584148,7
-532.040153425809,576.0423812526271,552.9369693148382,15
-2860.0555555555547,-830.1111111111109,29.333333333333332,6
-1922.8999999999996,-1668.5333333333333,-50.5,4
-1718.0929419986019,1782.6666666666658,350.69252271139044,9
2947.5434782608695,1970.6552795031055,71.92546583850933,8
1229.734528936346,2453.1794584390304,37.69871983953749,11
-219.0769230769231,2467.5384615384605,932.423076923077,2
1921.8018018018017,1402.6756756756756,319.5405405405405,12
25.397660818713447,558.9117933723196,494.9249512670566,9
1866.811032740288,143.61080113696175,245.28055584798398,14
2394.0,1462.423076923077,162.49999999999997,2
-860.6305329719963,-1419.8967178560674,181.90635350797953,9
100.07142857142857,3353.904761904761,840.2619047619046,5
3511.560594158394,987.7545454545451,97.21849603656358,19
-675.9402669632923,98.36585094549498,443.4976640711901,10
1048.98345410628,191.95000483091783,291.02197101449275,25
-1546.7619047619048,-2674.5,-228.095238095238,4
-1374.9179894179895,-119.14682539682538,268.6309523809524,6
-726.6393442622949,2371.67213114754,648.3934426229509,6
110.35584415584415,-238.1090909090909,531.0363636363634,5
415.2692307692308,2940.730769230768,455.8076923076923,3
484.08093434343436,500.8858585858585,279.93775252525245,20
5208.211538461536,-1220.5384615384614,-305.92307692307685,8
1429.8612817896076,2212.2071378204014,140.3228359860583,19
-1028.2987012987012,-278.1152597402598,172.1439393939394,6
2710.2319302214805,499.88600460427074,248.4074680479479,19
-1363.470879120879,2587.452472527472,383.76346153846146,14
2428.7692307692305,2314.653846153846,255.03846153846155,3
-808.574926921197,747.2047477723888,594.4390038724715,16
-869.8287499999998,518.8287499999999,385.70499999999987,12
-1107.375,109.87499999999999,587.25,2
-722.3142857142855,394.3714285714285,678.7214285714285,5
1516.098765432098,1685.3580246913573,179.93827160493825,7
1931.404939179458,862.3185648190702,265.30192726047113,11
-720.5508803048983,-483.547925729484,197.2058480858554,18
4815.783333333333,2360.2,158.60833333333332,5
-612.4074074074072,3127.8765432098767,621.0246913580247,12
-2629.5,-1726.0,290.5,2
700.2721974206346,-214.71093749999997,681.0155009920633,12
-4902.530499999999,2608.2435,221.68649999999997,5
-1376.4626865671637,-2531.6567164179096,266.77611940298493,7
-1862.1199999999997,1875.88,821.4,3
1932.303846153846,1007.8769230769228,516.7461538461539,5
-930.8709677419353,1588.6451612903227,287.61290322580646,3
-201.86206896551715,1709.356321839079,683.8505747126435,10
-860.2784810126581,-2411.291139240504,153.5949367088608,10
1921.3999999999996,3182.7000000000003,151.675,4
3841.4,519.1999999999998,193.66666666666666,3
6215.197674418603,-233.7906976744186,-397.24418604651163,8
-1027.222222222222,-2136.3333333333326,-225.72222222222217,3
142.97727272727272,195.11363636363632,728.3636363636365,5
-217.26760563380276,-2581.985915492957,110.33802816901408,8
1393.6363636363635,-1890.818181818182,241.0,2
5502.171428571429,2143.828571428571,81.77142857142859,3
-264.8852459016393,2804.737704918034,672.1311475409832,6
-2410.7405475880046,-218.6517106505417,289.6926223980578,13
1756.1836734693882,2406.1632653061224,179.99999999999997,11
-2011.8695652173906,2096.782608695652,260.32608695652175,5
-3028.8749999999995,-1919.0416666666665,-193.5,2
-397.6352941176471,1329.8705882352947,831.7882352941175,12
-1998.8235294117646,-2383.529411764705,-210.9411764705882,3
