x,y,z,count
1425.8291666666669,-111.77083333333333,863.4583333333334,18
2674.5636363636368,392.2155844155845,1312.9116883116887,14
-241.46386054421765,-782.2436224489795,1460.3830782312923,28
-1192.2916666666667,-543.7083333333334,1023.75,12
-444.2207792207792,-490.09090909090907,1287.5324675324675,14
346.92857142857144,295.2857142857143,597.0,7
475.8333333333333,-2399.5,1072.5416666666665,10
2853.892857142857,-853.1071428571429,850.1071428571429,8
532.4642857142857,-1027.7142857142856,1668.732142857143,14
-92.5625,1072.9166666666667,884.6666666666666,12
-1386.4852071005919,-1484.9408284023668,1895.2189349112427,13
-408.5,-3374.5,1106.5,6
439.87824074074075,-1596.0967592592594,1288.100462962963,18
-823.9380952380951,-2143.5904761904762,911.742857142857,14
-540.715976331361,-60.94082840236687,1546.7810650887575,13
64.975,-644.525,1149.9916666666666,15
926.6969696969696,-600.9999999999999,1396.6969696969697,11
2141.5166666666664,-2265.883333333333,1493.533333333333,10
1971.5857142857144,-972.2785714285712,525.6785714285714,14
159.00000000000003,-1457.1818181818182,1561.1818181818182,11
-1704.4505494505493,-1078.0549450549452,1289.7472527472528,13
-2124.3675213675215,-2033.7948717948716,714.2136752136752,13
983.901098901099,-2437.6190476190477,936.6263736263736,13
-1979.111111111111,-1881.8888888888887,2556.4444444444443,3
295.6714285714285,-1491.3428571428572,843.9714285714286,10
182.3,-2153.7,1622.0,10
-2061.1195652173915,-1685.0434782608695,538.804347826087,23
-507.6000000000001,1426.2,-133.8,6
-338.43333333333334,-2714.741666666667,439.025,8
218.05,-449.95,1960.35,10
1274.0,-2532.8571428571427,574.0,7
-1412.6666666666665,-380.875,1972.1979166666665,8
2404.6666666666665,-286.6190476190476,912.0,7
1497.3888888888887,-1628.6388888888887,580.9722222222222,6
-1738.5111111111112,270.0,1788.0222222222224,9
-2712.342857142857,-285.7714285714286,436.0,7
-885.4000000000001,-184.20000000000002,3025.4,6
460.1587301587301,596.4761904761905,1240.1269841269839,14
81.27777777777777,-2255.777777777778,2026.2777777777778,4
1231.4545454545455,-1696.1818181818182,1961.3636363636363,11
817.4375,123.1875,822.75,14
-174.33333333333334,501.8333333333333,-284.1666666666667,6
3482.285714285714,-1473.142857142857,1517.7142857142858,7
1862.7132867132868,-1242.8881118881118,1712.0559440559443,11
1179.4523809523812,-1553.5,469.8333333333333,7
802.625,-292.185,1142.645,10
2176.3833333333337,-647.3666666666667,1940.1333333333332,6
-865.6122448979592,-2087.979591836735,1271.2448979591838,14
314.3484848484848,-1221.5,2017.242424242424,11
-97.64444444444445,-2140.4444444444443,843.3777777777779,9
643.6730769230769,-1022.7692307692307,1315.9423076923076,13
1421.7380952380952,-225.7278911564626,1735.561224489796,14
-1540.7256198347109,-893.4347107438017,1872.6578512396698,11
-539.1904761904761,84.16666666666666,928.0,14
1582.909090909091,-556.0,1870.9090909090912,10
-1317.75,-202.74999999999997,1326.375,7
3256.0,-690.0,2122.5,3
-503.625,-2491.0,956.5,10
1271.621212121212,-771.3939393939393,1997.6641414141413,22
-929.6666666666666,-572.6666666666666,2088.6666666666665,2
-1037.3386243386242,-1100.4603174603171,474.9894179894179,9
-233.36363636363637,-2371.090909090909,1479.5757575757575,11
